
---------- Begin Simulation Statistics ----------
simSeconds                                   0.118514                       # Number of seconds simulated (Second)
simTicks                                 118514240572                       # Number of ticks simulated (Tick)
finalTick                                118514240572                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    824.17                       # Real time elapsed on the host (Second)
hostTickRate                                143798447                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8613144                       # Number of bytes of host memory used (Byte)
simInsts                                    261124873                       # Number of instructions simulated (Count)
simOps                                      312342277                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   316834                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     378978                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        248979498                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.952643                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.049711                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       338530830                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   177521                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      333090239                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 407801                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             26366073                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          22209351                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1379                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           243102847                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.370162                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.296120                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  83180300     34.22%     34.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  56827176     23.38%     57.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  52156151     21.45%     79.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  34989910     14.39%     93.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13043621      5.37%     98.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2637865      1.09%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    258282      0.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      8806      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       736      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             243102847                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 6211068     19.91%     19.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 372242      1.19%     21.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   14759      0.05%     21.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     21.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     21.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     21.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     21.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     21.16% # attempts to use FU when none available (Count)
